Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (145757.400000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.133 s.
Iteration 1: gap 0.769501012548797, obj 766662750.917965, time 0.352, 570 shifts
Iteration 2: gap 0.322447943012987, obj 667876706.872601, time 0.548, 731 shifts
Iteration 3: gap 0.125438298197388, obj 629292510.823451, time 0.775, 893 shifts
Iteration 4: gap 0.033229779173863, obj 613600865.040885, time 1.000, 1075 shifts
Iteration 5: gap 0.013854916120164, obj 608206441.513201, time 1.266, 1330 shifts
Iteration 6: gap 0.007540788014646, obj 606265452.328071, time 1.528, 1586 shifts
Iteration 7: gap 0.005167119552513, obj 605406835.932994, time 1.727, 1847 shifts
Iteration 8: gap 0.002973009855826, obj 604750264.14076, time 1.925, 2114 shifts
Iteration 9: gap 0.001175915664140, obj 604171531.630802, time 2.134, 2493 shifts
Iteration 10: gap 0.000595789209430, obj 603943321.069714, time 2.358, 2945 shifts
Iteration 11: gap 0.000322003238546, obj 603828992.929884, time 2.567, 3477 shifts
Iteration 12: gap 0.000162742703224, obj 603767181.688156, time 2.781, 4047 shifts
Iteration 13: gap 0.000093121644847, obj 603733178.47916, time 3.003, 4686 shifts
Iteration 14: gap 0.000053341884238, obj 603718045.741627, time 3.268, 5413 shifts
Iteration 15: gap 0.000049046327412, obj 603713144.65359, time 3.559, 6320 shifts
Iteration 16: gap 0.000037629834072, obj 603710717.594985, time 3.793, 6837 shifts
Iteration 17: gap 0.000031319749514, obj 603705413.351638, time 4.051, 7428 shifts
Iteration 18: gap 0.000025523250241, obj 603701787.049807, time 4.227, 7763 shifts
Iteration 19: gap 0.000023914577239, obj 603701347.239955, time 4.366, 8065 shifts
Iteration 20: gap 0.000022424070777, obj 603701059.946267, time 4.582, 8509 shifts
Iteration 21: gap 0.000022712054456, obj 603700513.712018, time 4.789, 8883 shifts
Iteration 22: gap 0.000020094959086, obj 603700252.450869, time 4.971, 9233 shifts
Iteration 23: gap 0.000019443114617, obj 603699901.618243, time 5.229, 9738 shifts
Iteration 24: gap 0.000022169997908, obj 603699637.297233, time 5.494, 10226 shifts
Iteration 25: gap 0.000018997160425, obj 603699462.647901, time 5.698, 10611 shifts
Iteration 26: gap 0.000015433802370, obj 603699324.967051, time 5.911, 10969 shifts
Iteration 27: gap 0.000015827742077, obj 603699176.547802, time 6.113, 11299 shifts
Iteration 28: gap 0.000015031102542, obj 603699052.419997, time 6.288, 11608 shifts
Iteration 29: gap 0.000015286593124, obj 603698893.783959, time 6.548, 12140 shifts
Iteration 30: gap 0.000013848648110, obj 603698748.681095, time 6.795, 12561 shifts
Iteration 31: gap 0.000016592670461, obj 603698460.372005, time 7.062, 13158 shifts
Iteration 32: gap 0.000012959143842, obj 603698351.384691, time 7.239, 13442 shifts
Iteration 33: gap 0.000012714402291, obj 603698212.941737, time 7.479, 13844 shifts
Iteration 34: gap 0.000012172129058, obj 603698035.255703, time 7.773, 14426 shifts
Iteration 35: gap 0.000014636965474, obj 603697863.271347, time 8.003, 14776 shifts
Iteration 36: gap 0.000015191658399, obj 603697749.073498, time 8.254, 15279 shifts
Iteration 37: gap 0.000011410939751, obj 603697640.681281, time 8.454, 15691 shifts
Iteration 38: gap 0.000012145669865, obj 603697510.86894, time 8.709, 16088 shifts
Iteration 39: gap 0.000013033553475, obj 603697389.855937, time 8.955, 16547 shifts
Iteration 40: gap 0.000014017226920, obj 603697302.35535, time 9.151, 16879 shifts
Iteration 41: gap 0.000010119603077, obj 603697200.649559, time 9.335, 17198 shifts
Iteration 42: gap 0.000012298570900, obj 603697045.244701, time 9.723, 18006 shifts
Iteration 43: gap 0.000010735436722, obj 603696916.080711, time 10.103, 18830 shifts
Iteration 44: gap 0.000011222414262, obj 603696802.985407, time 10.473, 19547 shifts
Iteration 45: gap 0.000011594142284, obj 603696716.854593, time 10.671, 19888 shifts
Iteration 46: gap 0.000010868514575, obj 603696634.512261, time 10.852, 20190 shifts
Iteration 47: gap 0.000008446820053, obj 603696567.413161, time 11.002, 20454 shifts
Aggregate TSTT: 1278624134.596633
