Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 6.541 s.
Iteration 1: gap 0.079950093660252, obj 240252392.757727, time 0.287, 552 shifts
Iteration 2: gap 0.040753943261915, obj 238520629.586196, time 0.517, 712 shifts
Iteration 3: gap 0.021941178317807, obj 237594673.927579, time 0.653, 875 shifts
Iteration 4: gap 0.004115558085697, obj 237011776.895282, time 0.797, 1032 shifts
Iteration 5: gap 0.001573565776878, obj 236748064.43186, time 1.007, 1382 shifts
Iteration 6: gap 0.000946312497380, obj 236658303.107305, time 1.133, 1649 shifts
Iteration 7: gap 0.000637950594673, obj 236609325.275427, time 1.234, 1903 shifts
Iteration 8: gap 0.000192815347645, obj 236583539.446506, time 1.322, 2121 shifts
Iteration 9: gap 0.000335855075350, obj 236566165.601426, time 1.430, 2432 shifts
Iteration 10: gap 0.000067071974609, obj 236563463.198657, time 1.500, 2574 shifts
Iteration 11: gap 0.000038012822865, obj 236559543.864251, time 1.596, 2949 shifts
Iteration 12: gap 0.000025838958311, obj 236557559.107855, time 1.688, 3291 shifts
Iteration 13: gap 0.000019259473453, obj 236556752.331965, time 1.787, 3633 shifts
Iteration 14: gap 0.000017215564605, obj 236556455.225358, time 1.894, 4015 shifts
Iteration 15: gap 0.000016471654034, obj 236556289.110919, time 1.996, 4322 shifts
Iteration 16: gap 0.000014949672317, obj 236556200.283248, time 2.148, 4632 shifts
Iteration 17: gap 0.000015354833111, obj 236556162.994625, time 2.232, 4836 shifts
Iteration 18: gap 0.000013958396025, obj 236556145.42002, time 2.354, 4987 shifts
Iteration 19: gap 0.000014638238453, obj 236556123.443556, time 2.442, 5212 shifts
Iteration 20: gap 0.000014168863303, obj 236556108.006915, time 2.523, 5397 shifts
Iteration 21: gap 0.000013426716825, obj 236556098.763467, time 2.597, 5557 shifts
Iteration 22: gap 0.000014133050196, obj 236556092.11318, time 2.665, 5661 shifts
Iteration 23: gap 0.000013217937308, obj 236556080.092993, time 2.740, 5819 shifts
Iteration 24: gap 0.000015205148890, obj 236556079.447042, time 2.804, 5896 shifts
Iteration 25: gap 0.000013179864997, obj 236556067.62081, time 2.879, 6032 shifts
Iteration 26: gap 0.000013611799753, obj 236556057.330134, time 2.956, 6201 shifts
Iteration 27: gap 0.000013520812788, obj 236556053.572021, time 3.025, 6294 shifts
Iteration 28: gap 0.000013181179250, obj 236556048.424868, time 3.094, 6410 shifts
Iteration 29: gap 0.000013555564945, obj 236556046.988381, time 3.159, 6493 shifts
Iteration 30: gap 0.000013263750877, obj 236556033.447448, time 3.232, 6635 shifts
Iteration 31: gap 0.000013435309483, obj 236556029.10061, time 3.306, 6738 shifts
Iteration 32: gap 0.000013186203144, obj 236556015.270935, time 3.386, 6918 shifts
Iteration 33: gap 0.000013338033319, obj 236556000.165331, time 3.464, 7081 shifts
Iteration 34: gap 0.000012634061925, obj 236555981.959684, time 3.551, 7243 shifts
Iteration 35: gap 0.000014573011474, obj 236555981.336473, time 3.614, 7315 shifts
Iteration 36: gap 0.000012835061301, obj 236555970.973725, time 3.692, 7479 shifts
Iteration 37: gap 0.000012906798012, obj 236555956.879705, time 3.775, 7658 shifts
Iteration 38: gap 0.000012837179657, obj 236555943.136684, time 3.851, 7797 shifts
Iteration 39: gap 0.000013154033262, obj 236555941.000231, time 3.920, 7916 shifts
Iteration 40: gap 0.000012537078682, obj 236555933.166368, time 3.999, 8088 shifts
