Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR0.2_DR1_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.549 s.
Iteration 1: gap 1.015668505727180, obj 1968104291.31131, time 0.161, 573 shifts
Iteration 2: gap 0.489308482261183, obj 1599482454.1363, time 0.245, 733 shifts
Iteration 3: gap 0.176423555763743, obj 1391460321.77649, time 0.349, 903 shifts
Iteration 4: gap 0.060841524488619, obj 1324488295.45751, time 0.449, 1085 shifts
Iteration 5: gap 0.026189123780963, obj 1303791148.86428, time 0.561, 1316 shifts
Iteration 6: gap 0.012175990927274, obj 1295728348.31456, time 0.657, 1556 shifts
Iteration 7: gap 0.007984463040336, obj 1291556849.41346, time 0.754, 1832 shifts
Iteration 8: gap 0.005160056471671, obj 1289046597.72038, time 0.840, 2105 shifts
Iteration 9: gap 0.003802399909805, obj 1287781328.61594, time 0.923, 2370 shifts
Iteration 10: gap 0.001741959343293, obj 1286443663.89311, time 0.997, 2610 shifts
Iteration 11: gap 0.000830170321410, obj 1285734382.30764, time 1.097, 3059 shifts
Iteration 12: gap 0.000296180548345, obj 1285293664.64345, time 1.212, 3652 shifts
Iteration 13: gap 0.000235607904539, obj 1285016681.06707, time 1.390, 4814 shifts
Iteration 14: gap 0.000213256458917, obj 1284924834.57141, time 1.517, 5533 shifts
Iteration 15: gap 0.000096056317251, obj 1284880686.29698, time 1.612, 6002 shifts
Iteration 16: gap 0.000079729436199, obj 1284856554.66523, time 1.790, 7022 shifts
Iteration 17: gap 0.000051674217635, obj 1284842007.80518, time 1.948, 7843 shifts
Iteration 18: gap 0.000045563937854, obj 1284833957.69303, time 2.103, 8566 shifts
Iteration 19: gap 0.000072059016137, obj 1284817329.6699, time 2.293, 9561 shifts
Iteration 20: gap 0.000030182026087, obj 1284803493.17548, time 2.380, 9815 shifts
Iteration 21: gap 0.000029496155523, obj 1284801288.88652, time 2.562, 10694 shifts
Iteration 22: gap 0.000025416846642, obj 1284800304.22553, time 2.688, 11204 shifts
Iteration 23: gap 0.000023938000014, obj 1284799487.13394, time 2.830, 11740 shifts
Iteration 24: gap 0.000025829538904, obj 1284798375.91582, time 2.973, 12301 shifts
Iteration 25: gap 0.000021533562732, obj 1284798004.51341, time 3.072, 12628 shifts
Iteration 26: gap 0.000024151250557, obj 1284797173.22063, time 3.221, 13221 shifts
Iteration 27: gap 0.000018827437149, obj 1284796910.49641, time 3.330, 13600 shifts
Iteration 28: gap 0.000017653152504, obj 1284796243.65068, time 3.471, 14149 shifts
Iteration 29: gap 0.000054691198504, obj 1284795417.04476, time 3.644, 14822 shifts
Iteration 30: gap 0.000024422387942, obj 1284795236.12418, time 3.699, 14931 shifts
Iteration 31: gap 0.000018121373911, obj 1284795040.81178, time 3.809, 15251 shifts
Iteration 32: gap 0.000017714841130, obj 1284794587.05946, time 3.990, 15932 shifts
Iteration 33: gap 0.000018383485818, obj 1284794351.02775, time 4.118, 16402 shifts
Iteration 34: gap 0.000025588233752, obj 1284794120.80823, time 4.272, 16870 shifts
Iteration 35: gap 0.000017622077358, obj 1284793888.49978, time 4.375, 17156 shifts
Iteration 36: gap 0.000023316068807, obj 1284793507.27585, time 4.589, 17712 shifts
Iteration 37: gap 0.000019292240620, obj 1284793318.656, time 4.703, 18014 shifts
Iteration 38: gap 0.000014098786141, obj 1284793171.867, time 4.791, 18281 shifts
Iteration 39: gap 0.000018093348436, obj 1284792771.77063, time 4.981, 18950 shifts
Iteration 40: gap 0.000013204409622, obj 1284792516.01479, time 5.132, 19422 shifts
Iteration 41: gap 0.000013041584516, obj 1284792278.71142, time 5.286, 19940 shifts
Iteration 42: gap 0.000020629165075, obj 1284791927.69817, time 5.497, 20531 shifts
Iteration 43: gap 0.000012860690117, obj 1284791868.56002, time 5.616, 20738 shifts
Iteration 44: gap 0.000015771641537, obj 1284791736.61158, time 5.817, 21249 shifts
Iteration 45: gap 0.000015090545191, obj 1284791650.86606, time 5.938, 21530 shifts
Iteration 46: gap 0.000014178622309, obj 1284791494.90898, time 6.062, 21854 shifts
Iteration 47: gap 0.000011270964505, obj 1284791348.97508, time 6.264, 22398 shifts
Iteration 48: gap 0.000012393824692, obj 1284791141.61086, time 6.433, 22830 shifts
Iteration 49: gap 0.000011320236603, obj 1284791044.83354, time 6.620, 23284 shifts
Iteration 50: gap 0.000011219635957, obj 1284790939.39679, time 6.785, 23631 shifts
Iteration 51: gap 0.000010978086569, obj 1284790873.94127, time 6.910, 23917 shifts
Iteration 52: gap 0.000014156575885, obj 1284790768.50547, time 7.046, 24205 shifts
Iteration 53: gap 0.000010867869500, obj 1284790645.14712, time 7.183, 24713 shifts
Iteration 54: gap 0.000012065868350, obj 1284790469.1751, time 7.359, 25252 shifts
Iteration 55: gap 0.000009645640752, obj 1284790377.82378, time 7.520, 25721 shifts
Aggregate TSTT: 4074627007.011710
