Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL OD FOW in trips file net/WL_TR1_DR0.75_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.534 s.
Iteration 1: gap 0.684121637788227, obj 944081795.999633, time 0.379, 562 shifts
Iteration 2: gap 0.340573184568602, obj 828031312.642756, time 0.586, 717 shifts
Iteration 3: gap 0.195636948436497, obj 779128144.232243, time 0.846, 886 shifts
Iteration 4: gap 0.048293266733188, obj 747575979.272671, time 1.043, 1033 shifts
Iteration 5: gap 0.019118460471455, obj 739241566.205205, time 1.359, 1269 shifts
Iteration 6: gap 0.008923822025493, obj 735725584.859577, time 1.638, 1530 shifts
Iteration 7: gap 0.004691283942546, obj 733792347.173233, time 1.907, 1862 shifts
Iteration 8: gap 0.002131434994803, obj 732702287.797915, time 2.138, 2195 shifts
Iteration 9: gap 0.001294876586826, obj 732179478.164545, time 2.386, 2620 shifts
Iteration 10: gap 0.001155457611488, obj 731872809.997634, time 2.586, 3037 shifts
Iteration 11: gap 0.000416275301455, obj 731734808.687819, time 2.768, 3392 shifts
Iteration 12: gap 0.000207876568366, obj 731630486.352492, time 3.032, 4062 shifts
Iteration 13: gap 0.000235882229913, obj 731586352.595886, time 3.308, 4847 shifts
Iteration 14: gap 0.000130080220225, obj 731558262.723359, time 3.520, 5400 shifts
Iteration 15: gap 0.000109439793950, obj 731536704.244138, time 3.722, 5978 shifts
Iteration 16: gap 0.000103290031293, obj 731520611.999864, time 3.956, 6612 shifts
Iteration 17: gap 0.000080774888138, obj 731511112.532711, time 4.221, 7220 shifts
Iteration 18: gap 0.000086420157170, obj 731503871.257937, time 4.440, 7661 shifts
Iteration 19: gap 0.000062522280186, obj 731500126.630894, time 4.601, 7933 shifts
Iteration 20: gap 0.000100331532515, obj 731495149.194934, time 4.830, 8464 shifts
Iteration 21: gap 0.000050559115392, obj 731491384.689737, time 5.014, 8795 shifts
Iteration 22: gap 0.000048228615338, obj 731489087.73173, time 5.197, 9197 shifts
Iteration 23: gap 0.000069483651350, obj 731487318.624238, time 5.337, 9462 shifts
Iteration 24: gap 0.000043330613844, obj 731486068.920466, time 5.501, 9781 shifts
Iteration 25: gap 0.000044311326138, obj 731484763.508976, time 5.706, 10222 shifts
Iteration 26: gap 0.000038096368155, obj 731484593.453235, time 5.826, 10387 shifts
Iteration 27: gap 0.000036540602034, obj 731483981.136178, time 6.014, 10783 shifts
Iteration 28: gap 0.000040560901077, obj 731483666.231204, time 6.169, 11054 shifts
Iteration 29: gap 0.000033822379491, obj 731483501.041286, time 6.334, 11261 shifts
Iteration 30: gap 0.000033698245712, obj 731483192.408375, time 6.510, 11613 shifts
Iteration 31: gap 0.000038852412823, obj 731482616.808466, time 6.774, 12021 shifts
Iteration 32: gap 0.000030552910190, obj 731482423.295424, time 6.924, 12237 shifts
Iteration 33: gap 0.000049832848138, obj 731481998.607799, time 7.104, 12610 shifts
Iteration 34: gap 0.000030949027493, obj 731481886.486129, time 7.206, 12711 shifts
Iteration 35: gap 0.000032535435162, obj 731481716.409341, time 7.358, 12958 shifts
Iteration 36: gap 0.000028760576693, obj 731481582.988576, time 7.477, 13122 shifts
Iteration 37: gap 0.000032874267836, obj 731481410.085243, time 7.667, 13350 shifts
Iteration 38: gap 0.000030369112572, obj 731481298.222684, time 7.813, 13536 shifts
Iteration 39: gap 0.000035526094717, obj 731481287.789573, time 7.889, 13608 shifts
Iteration 40: gap 0.000026970726919, obj 731481245.766021, time 7.980, 13706 shifts
Iteration 41: gap 0.000025874989434, obj 731481065.07864, time 8.117, 13906 shifts
Iteration 42: gap 0.000027929622332, obj 731481019.548894, time 8.224, 14044 shifts
Iteration 43: gap 0.000030748019612, obj 731480984.083609, time 8.325, 14171 shifts
Iteration 44: gap 0.000026308633987, obj 731480929.017494, time 8.445, 14334 shifts
Iteration 45: gap 0.000026580129262, obj 731480864.473941, time 8.594, 14498 shifts
Iteration 46: gap 0.000026120520056, obj 731480731.959142, time 8.719, 14677 shifts
Iteration 47: gap 0.000028510464917, obj 731480662.726315, time 8.841, 14830 shifts
Iteration 48: gap 0.000025349673780, obj 731480654.186487, time 8.922, 14909 shifts
Iteration 49: gap 0.000025404648052, obj 731480483.099007, time 9.085, 15200 shifts
Iteration 50: gap 0.000025859479710, obj 731480382.143513, time 9.246, 15408 shifts
Iteration 51: gap 0.000046426031958, obj 731480163.864439, time 9.462, 15766 shifts
Iteration 52: gap 0.000026103215481, obj 731480069.489977, time 9.613, 16003 shifts
Iteration 53: gap 0.000042210092745, obj 731479964.027573, time 9.775, 16197 shifts
