Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR1_DR1_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.557 s.
Iteration 1: gap 0.830803484694244, obj 2735236587.81646, time 0.166, 567 shifts
Iteration 2: gap 0.414137583074242, obj 2236764985.92289, time 0.251, 729 shifts
Iteration 3: gap 0.123653106275013, obj 1938066354.84534, time 0.364, 911 shifts
Iteration 4: gap 0.043597900329140, obj 1868187493.93448, time 0.470, 1108 shifts
Iteration 5: gap 0.018553210593710, obj 1842449022.10901, time 0.596, 1354 shifts
Iteration 6: gap 0.008035032678452, obj 1831481999.31173, time 0.709, 1621 shifts
Iteration 7: gap 0.005002854956189, obj 1826897503.41572, time 0.823, 1946 shifts
Iteration 8: gap 0.003143490179691, obj 1824330970.42167, time 0.920, 2277 shifts
Iteration 9: gap 0.001308813883172, obj 1822097691.87243, time 1.022, 2644 shifts
Iteration 10: gap 0.000679972314390, obj 1820956439.60535, time 1.153, 3260 shifts
Iteration 11: gap 0.000313000186353, obj 1820433611.71564, time 1.291, 3987 shifts
Iteration 12: gap 0.000191822113222, obj 1820135018.89265, time 1.468, 5046 shifts
Iteration 13: gap 0.000207301609216, obj 1819973484.89209, time 1.676, 6294 shifts
Iteration 14: gap 0.000115244356024, obj 1819911151.23401, time 1.828, 7024 shifts
Iteration 15: gap 0.000111298038413, obj 1819850847.72663, time 1.997, 7877 shifts
Iteration 16: gap 0.000091419674062, obj 1819818447.48815, time 2.178, 8725 shifts
Iteration 17: gap 0.000070855842076, obj 1819795460.84544, time 2.410, 9806 shifts
Iteration 18: gap 0.000089235718342, obj 1819778171.91689, time 2.616, 10766 shifts
Iteration 19: gap 0.000061085478099, obj 1819772078.76895, time 2.745, 11239 shifts
Iteration 20: gap 0.000060177750276, obj 1819765615.54207, time 2.874, 11658 shifts
Iteration 21: gap 0.000059143335392, obj 1819750757.13602, time 3.094, 12581 shifts
Iteration 22: gap 0.000051679994137, obj 1819744212.47846, time 3.252, 13176 shifts
Iteration 23: gap 0.000049356999780, obj 1819735236.73907, time 3.451, 13934 shifts
Iteration 24: gap 0.000046651209447, obj 1819731465.40501, time 3.574, 14361 shifts
Iteration 25: gap 0.000044274995455, obj 1819724711.74382, time 3.711, 14847 shifts
Iteration 26: gap 0.000047931523653, obj 1819718290.10072, time 3.890, 15553 shifts
Iteration 27: gap 0.000044572263774, obj 1819711158.39902, time 4.088, 16287 shifts
Iteration 28: gap 0.000063732323754, obj 1819707950.76753, time 4.206, 16609 shifts
Iteration 29: gap 0.000047767373712, obj 1819706356.50839, time 4.311, 16846 shifts
Iteration 30: gap 0.000037277144511, obj 1819702548.70492, time 4.431, 17193 shifts
Iteration 31: gap 0.000040507766169, obj 1819699313.59633, time 4.582, 17776 shifts
Iteration 32: gap 0.000054821340917, obj 1819695738.32485, time 4.715, 18167 shifts
Iteration 33: gap 0.000040271501737, obj 1819693814.96276, time 4.816, 18392 shifts
Iteration 34: gap 0.000043033671149, obj 1819692056.94246, time 4.914, 18635 shifts
Iteration 35: gap 0.000037503849428, obj 1819690230.49605, time 5.020, 18956 shifts
Iteration 36: gap 0.000041046859171, obj 1819688534.72204, time 5.117, 19170 shifts
Iteration 37: gap 0.000036371176541, obj 1819686397.99916, time 5.223, 19448 shifts
Iteration 38: gap 0.000035660716203, obj 1819683823.54397, time 5.326, 19751 shifts
Iteration 39: gap 0.000030503648001, obj 1819682185.56803, time 5.432, 20084 shifts
Iteration 40: gap 0.000032811974348, obj 1819679405.02605, time 5.579, 20572 shifts
Iteration 41: gap 0.000032349906709, obj 1819678473.59427, time 5.660, 20775 shifts
Iteration 42: gap 0.000032718538917, obj 1819676463.03695, time 5.764, 21062 shifts
Iteration 43: gap 0.000034250338628, obj 1819674578.58753, time 5.893, 21461 shifts
Iteration 44: gap 0.000027920257854, obj 1819673008.20087, time 6.023, 21877 shifts
Iteration 45: gap 0.000031196104195, obj 1819671341.07336, time 6.131, 22221 shifts
Iteration 46: gap 0.000034567294781, obj 1819670287.04633, time 6.235, 22435 shifts
Iteration 47: gap 0.000027510652034, obj 1819669977.91982, time 6.315, 22547 shifts
Iteration 48: gap 0.000028930582274, obj 1819669330.1447, time 6.409, 22787 shifts
Iteration 49: gap 0.000027676098891, obj 1819668521.18944, time 6.511, 23042 shifts
Iteration 50: gap 0.000027883934868, obj 1819667579.56954, time 6.624, 23384 shifts
Iteration 51: gap 0.000025545963659, obj 1819667159.74254, time 6.710, 23611 shifts
Iteration 52: gap 0.000025415985260, obj 1819666672.40944, time 6.828, 23930 shifts
Iteration 53: gap 0.000049830396592, obj 1819666303.97053, time 6.927, 24214 shifts
Iteration 54: gap 0.000026279976632, obj 1819666116.41724, time 6.992, 24326 shifts
Iteration 55: gap 0.000023560562050, obj 1819665878.81607, time 7.071, 24503 shifts
Iteration 56: gap 0.000027346692194, obj 1819665674.22934, time 7.145, 24691 shifts
Iteration 57: gap 0.000026526671038, obj 1819665313.15516, time 7.234, 24881 shifts
Iteration 58: gap 0.000027341938714, obj 1819665181.52188, time 7.304, 25023 shifts
