Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.194 s.
Iteration 1: gap 0.100164429653036, obj 245096251.661217, time 0.254, 555 shifts
Iteration 2: gap 0.050564815639494, obj 242898803.977821, time 0.399, 705 shifts
Iteration 3: gap 0.026262537707635, obj 241735118.945169, time 0.548, 876 shifts
Iteration 4: gap 0.004300289508209, obj 240988366.777366, time 0.694, 1040 shifts
Iteration 5: gap 0.002354756544954, obj 240686967.264702, time 0.911, 1375 shifts
Iteration 6: gap 0.001340109944330, obj 240597916.774569, time 1.017, 1583 shifts
Iteration 7: gap 0.000507085535489, obj 240529169.460979, time 1.145, 1943 shifts
Iteration 8: gap 0.000367124987981, obj 240475827.755318, time 1.267, 2339 shifts
Iteration 9: gap 0.000158914280179, obj 240463000.042195, time 1.359, 2588 shifts
Iteration 10: gap 0.000069027617647, obj 240456297.916744, time 1.449, 2873 shifts
Iteration 11: gap 0.000053133827928, obj 240453028.585905, time 1.549, 3283 shifts
Iteration 12: gap 0.000063367634103, obj 240449284.951142, time 1.659, 3700 shifts
Iteration 13: gap 0.000029006773539, obj 240447442.601809, time 1.752, 4002 shifts
Iteration 14: gap 0.000019300100431, obj 240446360.678849, time 1.854, 4395 shifts
Iteration 15: gap 0.000022932359397, obj 240445938.673123, time 1.941, 4691 shifts
Iteration 16: gap 0.000020872443268, obj 240445760.931575, time 2.019, 4892 shifts
Iteration 17: gap 0.000015197784940, obj 240445696.758121, time 2.113, 5207 shifts
Iteration 18: gap 0.000014811606915, obj 240445622.262392, time 2.208, 5505 shifts
Iteration 19: gap 0.000016179448313, obj 240445597.493728, time 2.300, 5760 shifts
Iteration 20: gap 0.000018880885575, obj 240445560.278836, time 2.393, 6053 shifts
Iteration 21: gap 0.000016501505032, obj 240445555.340813, time 2.460, 6150 shifts
Iteration 22: gap 0.000020798909193, obj 240445548.196096, time 2.530, 6253 shifts
