Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR0.2_DR1_FF0.6_PF0.8_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.515 s.
Iteration 1: gap 0.655497428690904, obj 1604977214.43197, time 0.204, 568 shifts
Iteration 2: gap 0.298107656708143, obj 1368655226.46831, time 0.285, 727 shifts
Iteration 3: gap 0.132411396757226, obj 1273886628.39661, time 0.382, 894 shifts
Iteration 4: gap 0.035597562913606, obj 1229917880.92205, time 0.465, 1060 shifts
Iteration 5: gap 0.014723881249142, obj 1216044037.86081, time 0.581, 1312 shifts
Iteration 6: gap 0.007625206752602, obj 1211466197.63355, time 0.670, 1558 shifts
Iteration 7: gap 0.005323386244158, obj 1209263428.9054, time 0.769, 1849 shifts
Iteration 8: gap 0.003085951505163, obj 1207854564.94682, time 0.850, 2108 shifts
Iteration 9: gap 0.002168135896874, obj 1206879737.31725, time 0.934, 2422 shifts
Iteration 10: gap 0.000920611572639, obj 1206130133.50383, time 1.001, 2689 shifts
Iteration 11: gap 0.000524015991972, obj 1205650760.58198, time 1.100, 3223 shifts
Iteration 12: gap 0.000249669210838, obj 1205455091.64475, time 1.200, 3788 shifts
Iteration 13: gap 0.000165650382612, obj 1205328686.15204, time 1.316, 4549 shifts
Iteration 14: gap 0.000174214599395, obj 1205266045.00379, time 1.425, 5280 shifts
Iteration 15: gap 0.000100454530078, obj 1205224092.71527, time 1.499, 5656 shifts
Iteration 16: gap 0.000075350017346, obj 1205206513.57747, time 1.603, 6208 shifts
Iteration 17: gap 0.000064413478415, obj 1205192427.89689, time 1.709, 6630 shifts
Iteration 18: gap 0.000061444717383, obj 1205182814.017, time 1.804, 7088 shifts
Iteration 19: gap 0.000062457151481, obj 1205178515.76586, time 1.899, 7336 shifts
Iteration 20: gap 0.000023522783609, obj 1205175481.41373, time 1.981, 7628 shifts
Iteration 21: gap 0.000017921365028, obj 1205171608.02969, time 2.155, 8763 shifts
Iteration 22: gap 0.000028159231952, obj 1205170311.87667, time 2.339, 9845 shifts
Iteration 23: gap 0.000016180471409, obj 1205170043.56699, time 2.439, 10200 shifts
Iteration 24: gap 0.000021569079320, obj 1205169616.73197, time 2.604, 11132 shifts
Iteration 25: gap 0.000021790388908, obj 1205169309.9079, time 2.693, 11441 shifts
Iteration 26: gap 0.000015189154440, obj 1205169119.2524, time 2.782, 11734 shifts
Iteration 27: gap 0.000015263956144, obj 1205168891.57225, time 2.891, 12150 shifts
Iteration 28: gap 0.000019472150699, obj 1205168760.26033, time 2.974, 12465 shifts
Iteration 29: gap 0.000014905147127, obj 1205168624.54528, time 3.057, 12827 shifts
Iteration 30: gap 0.000017337046021, obj 1205168491.93005, time 3.137, 13128 shifts
Iteration 31: gap 0.000012060001986, obj 1205168391.79707, time 3.215, 13412 shifts
Iteration 32: gap 0.000018355636984, obj 1205168191.7946, time 3.349, 13960 shifts
Iteration 33: gap 0.000012193040872, obj 1205168131.25362, time 3.409, 14113 shifts
Iteration 34: gap 0.000011679128238, obj 1205167990.18965, time 3.514, 14548 shifts
Iteration 35: gap 0.000013304591854, obj 1205167821.04304, time 3.646, 15221 shifts
Iteration 36: gap 0.000013429444336, obj 1205167715.6691, time 3.731, 15532 shifts
Iteration 37: gap 0.000012034750152, obj 1205167595.89072, time 3.810, 15856 shifts
Iteration 38: gap 0.000010889932711, obj 1205167547.58578, time 3.885, 16093 shifts
Iteration 39: gap 0.000010256262237, obj 1205167418.43711, time 3.971, 16399 shifts
Iteration 40: gap 0.000010858392260, obj 1205167306.26554, time 4.063, 16742 shifts
Iteration 41: gap 0.000010622803193, obj 1205167180.19922, time 4.168, 17027 shifts
Iteration 42: gap 0.000009524705098, obj 1205167006.87778, time 4.307, 17748 shifts
Aggregate TSTT: 3691799911.035326
