Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR1_DR1_FF0.6_PF0.8_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.602 s.
Iteration 1: gap 0.656003504208893, obj 1956831716.97651, time 0.150, 576 shifts
Iteration 2: gap 0.335262562845510, obj 1676713718.78701, time 0.232, 726 shifts
Iteration 3: gap 0.089672014459466, obj 1504604532.20272, time 0.330, 897 shifts
Iteration 4: gap 0.029796179582666, obj 1473392513.64036, time 0.435, 1099 shifts
Iteration 5: gap 0.014375545117627, obj 1459249215.94097, time 0.551, 1351 shifts
Iteration 6: gap 0.006496186760639, obj 1454013008.23093, time 0.644, 1593 shifts
Iteration 7: gap 0.003868632723982, obj 1451107735.01695, time 0.751, 1921 shifts
Iteration 8: gap 0.003021544805615, obj 1449333905.21139, time 0.847, 2257 shifts
Iteration 9: gap 0.002072517574793, obj 1448515058.56203, time 0.921, 2506 shifts
Iteration 10: gap 0.000722995008418, obj 1447577888.02437, time 1.000, 2811 shifts
Iteration 11: gap 0.000352895248696, obj 1447079426.13431, time 1.106, 3396 shifts
Iteration 12: gap 0.000219569948896, obj 1446893587.42991, time 1.220, 4126 shifts
Iteration 13: gap 0.000154220159739, obj 1446793702.84152, time 1.349, 4906 shifts
Iteration 14: gap 0.000107939910741, obj 1446743329.57499, time 1.491, 5819 shifts
Iteration 15: gap 0.000102222760364, obj 1446712009.7029, time 1.647, 6799 shifts
Iteration 16: gap 0.000080883547283, obj 1446693553.0547, time 1.763, 7370 shifts
Iteration 17: gap 0.000074937501254, obj 1446675035.16573, time 1.917, 8168 shifts
Iteration 18: gap 0.000062889831232, obj 1446663007.81462, time 2.050, 8837 shifts
Iteration 19: gap 0.000056005950674, obj 1446654861.59179, time 2.153, 9313 shifts
Iteration 20: gap 0.000062497698440, obj 1446644261.21691, time 2.286, 9943 shifts
Iteration 21: gap 0.000052271403119, obj 1446639254.52016, time 2.394, 10385 shifts
Iteration 22: gap 0.000089129941362, obj 1446634724.26184, time 2.522, 10915 shifts
Iteration 23: gap 0.000046657500339, obj 1446633172.49348, time 2.587, 11071 shifts
Iteration 24: gap 0.000088562462752, obj 1446628668.0282, time 2.680, 11458 shifts
Iteration 25: gap 0.000049716312463, obj 1446624688.70935, time 2.778, 11785 shifts
Iteration 26: gap 0.000042382658090, obj 1446621855.76169, time 2.864, 12031 shifts
Iteration 27: gap 0.000087663120463, obj 1446617748.90369, time 2.975, 12442 shifts
Iteration 28: gap 0.000039741832375, obj 1446616267.1737, time 3.049, 12636 shifts
Iteration 29: gap 0.000056426540371, obj 1446612188.2826, time 3.156, 13045 shifts
Iteration 30: gap 0.000041298944663, obj 1446609838.32216, time 3.262, 13412 shifts
Iteration 31: gap 0.000043034128189, obj 1446607170.70901, time 3.355, 13728 shifts
Iteration 32: gap 0.000033579670479, obj 1446604237.30436, time 3.451, 14057 shifts
Iteration 33: gap 0.000040976291281, obj 1446602998.48581, time 3.525, 14340 shifts
Iteration 34: gap 0.000035199333850, obj 1446599741.49683, time 3.625, 14706 shifts
Iteration 35: gap 0.000037035630376, obj 1446597432.62187, time 3.725, 15033 shifts
Iteration 36: gap 0.000030231178897, obj 1446596401.9735, time 3.808, 15332 shifts
Iteration 37: gap 0.000031718963520, obj 1446594664.97108, time 3.902, 15675 shifts
Iteration 38: gap 0.000030558536155, obj 1446594132.20176, time 3.966, 15849 shifts
Iteration 39: gap 0.000069807077389, obj 1446593302.87022, time 4.042, 16054 shifts
Iteration 40: gap 0.000027980244979, obj 1446592766.42491, time 4.099, 16185 shifts
Iteration 41: gap 0.000068564836396, obj 1446591717.0278, time 4.189, 16526 shifts
Iteration 42: gap 0.000067151581278, obj 1446591265.72616, time 4.245, 16655 shifts
Iteration 43: gap 0.000027364645297, obj 1446590838.3413, time 4.307, 16794 shifts
Iteration 44: gap 0.000066949979362, obj 1446590517.49359, time 4.377, 17011 shifts
Iteration 45: gap 0.000029024086576, obj 1446590127.24966, time 4.437, 17145 shifts
Iteration 46: gap 0.000064791592954, obj 1446589370.37528, time 4.518, 17410 shifts
Iteration 47: gap 0.000026698021337, obj 1446589121.69196, time 4.575, 17556 shifts
Iteration 48: gap 0.000028398761872, obj 1446588543.23399, time 4.660, 17803 shifts
Iteration 49: gap 0.000028825014813, obj 1446588268.81591, time 4.722, 17985 shifts
Iteration 50: gap 0.000028728773324, obj 1446587966.48122, time 4.800, 18154 shifts
Iteration 51: gap 0.000031012279947, obj 1446587221.82812, time 4.893, 18402 shifts
Iteration 52: gap 0.000023611291791, obj 1446586921.35562, time 4.965, 18578 shifts
Iteration 53: gap 0.000024662390995, obj 1446586289.04641, time 5.069, 18870 shifts
Iteration 54: gap 0.000028085830589, obj 1446585767.31976, time 5.223, 19502 shifts
Iteration 55: gap 0.000027807433278, obj 1446585278.20469, time 5.322, 19734 shifts
Iteration 56: gap 0.000023357225160, obj 1446585197.8144, time 5.383, 19856 shifts
Iteration 57: gap 0.000025017752418, obj 1446584979.71729, time 5.455, 20052 shifts
Iteration 58: gap 0.000060935012001, obj 1446584911.02415, time 5.512, 20169 shifts
Iteration 59: gap 0.000023336709864, obj 1446584730.78783, time 5.566, 20325 shifts
Iteration 60: gap 0.000027257254395, obj 1446584624.28557, time 5.637, 20483 shifts
Iteration 61: gap 0.000023683617977, obj 1446584602.10143, time 5.684, 20557 shifts
Iteration 62: gap 0.000022505451253, obj 1446584267.06878, time 5.777, 20868 shifts
Iteration 63: gap 0.000026295477748, obj 1446583702.51764, time 5.898, 21250 shifts
Iteration 64: gap 0.000021293194204, obj 1446583461.87762, time 5.973, 21460 shifts
Iteration 65: gap 0.000069436204095, obj 1446582969.09734, time 6.105, 22003 shifts
Iteration 66: gap 0.000022872991788, obj 1446582851.3427, time 6.156, 22113 shifts
Iteration 67: gap 0.000065341674604, obj 1446582509.64383, time 6.251, 22368 shifts
Iteration 68: gap 0.000023655740778, obj 1446582476.07794, time 6.296, 22434 shifts
Iteration 69: gap 0.000022097847288, obj 1446582370.94199, time 6.358, 22565 shifts
Iteration 70: gap 0.000025409233202, obj 1446581770.03282, time 6.465, 22895 shifts
Iteration 71: gap 0.000021219112270, obj 1446581668.00259, time 6.524, 23046 shifts
Iteration 72: gap 0.000024415859364, obj 1446581234.92626, time 6.620, 23266 shifts
Iteration 73: gap 0.000024801629348, obj 1446580850.39766, time 6.707, 23489 shifts
Iteration 74: gap 0.000023932670143, obj 1446580552.27797, time 6.788, 23721 shifts
Iteration 75: gap 0.000021135746372, obj 1446580528.70405, time 6.844, 23817 shifts
Iteration 76: gap 0.000021261323518, obj 1446580348.18954, time 6.916, 23970 shifts
Iteration 77: gap 0.000020941095609, obj 1446580134.0291, time 6.989, 24143 shifts
Iteration 78: gap 0.000022214187172, obj 1446580089.10164, time 7.047, 24288 shifts
Iteration 79: gap 0.000025214834117, obj 1446580069.47627, time 7.090, 24356 shifts
Iteration 80: gap 0.000024460113614, obj 1446579998.77256, time 7.144, 24456 shifts
Iteration 81: gap 0.000019985848865, obj 1446579869.54747, time 7.214, 24620 shifts
Iteration 82: gap 0.000020469933442, obj 1446579607.82677, time 7.317, 24953 shifts
Iteration 83: gap 0.000025075542388, obj 1446579385.02149, time 7.400, 25216 shifts
Iteration 84: gap 0.000019192520825, obj 1446579322.27069, time 7.459, 25359 shifts
Iteration 85: gap 0.000019566977914, obj 1446579277.91424, time 7.515, 25493 shifts
Iteration 86: gap 0.000023496164407, obj 1446579195.90051, time 7.570, 25613 shifts
Iteration 87: gap 0.000019110146151, obj 1446578927.44091, time 7.656, 25815 shifts
Iteration 88: gap 0.000056029916127, obj 1446578678.60663, time 7.743, 26025 shifts
Iteration 89: gap 0.000019986806507, obj 1446578595.77781, time 7.801, 26134 shifts
Iteration 90: gap 0.000056761703932, obj 1446578078.27548, time 7.924, 26455 shifts
Iteration 91: gap 0.000019600006081, obj 1446578019.89737, time 7.975, 26547 shifts
Iteration 92: gap 0.000055520098855, obj 1446577872.27005, time 8.043, 26787 shifts
Iteration 93: gap 0.000020512141102, obj 1446577843.45384, time 8.119, 26878 shifts
Iteration 94: gap 0.000018509487743, obj 1446577801.54855, time 8.178, 27013 shifts
Iteration 95: gap 0.000018475920904, obj 1446577755.55981, time 8.243, 27137 shifts
Iteration 96: gap 0.000017420275660, obj 1446577697.51318, time 8.301, 27274 shifts
Iteration 97: gap 0.000017617345617, obj 1446577503.30847, time 8.380, 27474 shifts
Iteration 98: gap 0.000020863928324, obj 1446577178.18695, time 8.467, 27723 shifts
Iteration 99: gap 0.000016992226334, obj 1446577028.85219, time 8.563, 28043 shifts
Iteration 100: gap 0.000021031555699, obj 1446576782.40443, time 8.657, 28312 shifts
