Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR2_DR0.75_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.179 s.
Iteration 1: gap 0.656540503235475, obj 1196746558.46734, time 0.393, 570 shifts
Iteration 2: gap 0.319450193608872, obj 1037728852.69617, time 0.621, 723 shifts
Iteration 3: gap 0.140785237959297, obj 970151341.733763, time 0.910, 889 shifts
Iteration 4: gap 0.045081582121496, obj 937750200.125712, time 1.126, 1038 shifts
Iteration 5: gap 0.022086528952274, obj 926470758.878155, time 1.453, 1273 shifts
Iteration 6: gap 0.013993850066459, obj 922064037.845818, time 1.701, 1485 shifts
Iteration 7: gap 0.011565787402654, obj 920554972.393317, time 1.895, 1648 shifts
Iteration 8: gap 0.007522526799752, obj 918482843.114994, time 2.112, 1834 shifts
Iteration 9: gap 0.005307880335509, obj 917205674.751093, time 2.311, 2033 shifts
Iteration 10: gap 0.001465036879424, obj 915555501.567824, time 2.475, 2207 shifts
Iteration 11: gap 0.000679167310629, obj 914915245.32589, time 2.783, 2732 shifts
Iteration 12: gap 0.000376213310634, obj 914668565.414415, time 3.044, 3349 shifts
Iteration 13: gap 0.000345258329018, obj 914560957.511178, time 3.262, 3874 shifts
Iteration 14: gap 0.000176707192028, obj 914508598.457227, time 3.466, 4339 shifts
Iteration 15: gap 0.000204896164901, obj 914469708.208052, time 3.814, 5245 shifts
Iteration 16: gap 0.000128012365520, obj 914446967.994718, time 4.051, 5717 shifts
Iteration 17: gap 0.000097160447444, obj 914424465.970197, time 4.271, 6141 shifts
Iteration 18: gap 0.000121760076984, obj 914412071.317409, time 4.543, 6720 shifts
Iteration 19: gap 0.000081452324541, obj 914405358.567564, time 4.755, 7175 shifts
Iteration 20: gap 0.000073699300474, obj 914398695.12737, time 4.999, 7640 shifts
Iteration 21: gap 0.000122053744857, obj 914392766.624144, time 5.317, 8315 shifts
Iteration 22: gap 0.000123274105473, obj 914390381.880209, time 5.507, 8617 shifts
Iteration 23: gap 0.000065221446724, obj 914389410.679981, time 5.631, 8768 shifts
Iteration 24: gap 0.000057220476415, obj 914385746.469889, time 5.877, 9245 shifts
Iteration 25: gap 0.000064187771100, obj 914382188.950652, time 6.075, 9614 shifts
Iteration 26: gap 0.000231550621191, obj 914379594.175739, time 6.260, 9926 shifts
Iteration 27: gap 0.000057683598573, obj 914377434.173288, time 6.402, 10141 shifts
Iteration 28: gap 0.000054945073660, obj 914376362.258163, time 6.614, 10455 shifts
Iteration 29: gap 0.000051797913377, obj 914373640.553601, time 6.834, 10854 shifts
Iteration 30: gap 0.000049605218438, obj 914371037.483267, time 7.071, 11238 shifts
Iteration 31: gap 0.000047132811770, obj 914367986.670483, time 7.298, 11681 shifts
Iteration 32: gap 0.000054168975959, obj 914366146.612284, time 7.494, 12033 shifts
Iteration 33: gap 0.000174639041723, obj 914364653.317405, time 7.657, 12280 shifts
Iteration 34: gap 0.000057916652780, obj 914363765.77196, time 7.783, 12474 shifts
Iteration 35: gap 0.000046095924252, obj 914362086.971415, time 7.948, 12750 shifts
Iteration 36: gap 0.000044556309291, obj 914359939.024294, time 8.154, 13063 shifts
Iteration 37: gap 0.000046862769951, obj 914358982.694079, time 8.343, 13356 shifts
Iteration 38: gap 0.000046975868606, obj 914357365.350251, time 8.519, 13610 shifts
Iteration 39: gap 0.000039467921730, obj 914356337.917432, time 8.729, 13846 shifts
Iteration 40: gap 0.000040830934888, obj 914355168.452204, time 8.918, 14115 shifts
Iteration 41: gap 0.000039430898540, obj 914354302.936575, time 9.098, 14369 shifts
Iteration 42: gap 0.000041523326318, obj 914352494.046363, time 9.311, 14759 shifts
Iteration 43: gap 0.000043068693133, obj 914351369.818379, time 9.490, 15029 shifts
Iteration 44: gap 0.000037211781097, obj 914350449.450629, time 9.646, 15265 shifts
Iteration 45: gap 0.000035356489738, obj 914349514.292323, time 9.816, 15509 shifts
Iteration 46: gap 0.000034642374975, obj 914348872.81425, time 9.996, 15749 shifts
Iteration 47: gap 0.000039029664503, obj 914348277.398494, time 10.150, 15964 shifts
Iteration 48: gap 0.000035072789432, obj 914347809.182961, time 10.287, 16104 shifts
Iteration 49: gap 0.000035090170907, obj 914347702.378747, time 10.393, 16238 shifts
Iteration 50: gap 0.000034294713701, obj 914347380.657068, time 10.560, 16419 shifts
Iteration 51: gap 0.000034101818774, obj 914347212.042707, time 10.679, 16571 shifts
